Node          U1          U2          U3
231 -0.0024363 -0.00350821 0.000207883
232 -0.00277238 -0.004493 0.000202688
233 -0.00307617 -0.00565401 0.000190029
234 -0.0033403 -0.0069643 0.000171467
235 -0.00356026 -0.00839815 0.000148856
236 -0.00374016 -0.00993253 0.000120576
237 -0.0038809 -0.0115409 9.21631e-05
238 -0.0040046 -0.0132249 4.42238e-05
239 -0.00410752 -0.0149394 -6.9103e-06
240 -0.00244511 -0.00358783 0.000129678
241 -0.00277688 -0.00457433 0.000127496
242 -0.00307708 -0.00573199 0.00012147
243 -0.00333913 -0.00703554 0.000111472
244 -0.00355856 -0.00846047 9.73788e-05
245 -0.00373831 -0.00998324 8.03764e-05
246 -0.00388211 -0.0115824 5.73566e-05
247 -0.00399465 -0.0132499 3.08954e-05
248 -0.00409953 -0.0149391 -1.94449e-06
249 -0.00245166 -0.00362842 6.11657e-05
250 -0.00278041 -0.00461692 6.06637e-05
251 -0.00307753 -0.00577454 5.84672e-05
252 -0.00333724 -0.00707566 5.41675e-05
253 -0.00355515 -0.00849585 4.78466e-05
254 -0.00373467 -0.0100135 3.91095e-05
255 -0.00387561 -0.0116043 2.82772e-05
256 -0.00398893 -0.0132658 1.47184e-05
257 -0.00408638 -0.014946 3.69134e-06
258 -0.00245413 -0.00364072 -6.85216e-17
259 -0.00278181 -0.00463024 -7.84632e-17
260 -0.00307778 -0.00578809 -9.26971e-17
261 -0.0033365 -0.00708851 -1.01693e-16
262 -0.00355389 -0.00850755 -1.13766e-16
263 -0.00373259 -0.010023 -1.24171e-16
264 -0.00387374 -0.0116123 -1.40218e-16
265 -0.00398483 -0.0132703 -1.5097e-16
266 -0.00408592 -0.01495 -1.54618e-16
267 -0.00245166 -0.00362842 -6.11657e-05
268 -0.00278041 -0.00461692 -6.06637e-05
269 -0.00307753 -0.00577454 -5.84672e-05
270 -0.00333724 -0.00707566 -5.41675e-05
271 -0.00355515 -0.00849585 -4.78466e-05
272 -0.00373467 -0.0100135 -3.91095e-05
273 -0.00387561 -0.0116043 -2.82772e-05
274 -0.00398893 -0.0132658 -1.47184e-05
275 -0.00408638 -0.014946 -3.69134e-06
276 -0.00244511 -0.00358783 -0.000129678
277 -0.00277688 -0.00457433 -0.000127496
278 -0.00307708 -0.00573199 -0.00012147
279 -0.00333913 -0.00703554 -0.000111472
280 -0.00355856 -0.00846047 -9.73788e-05
281 -0.00373831 -0.00998324 -8.03764e-05
282 -0.00388211 -0.0115824 -5.73566e-05
283 -0.00399465 -0.0132499 -3.08954e-05
284 -0.00409953 -0.0149391 1.94449e-06
285 -0.0024363 -0.00350821 -0.000207883
286 -0.00277238 -0.004493 -0.000202688
287 -0.00307617 -0.00565401 -0.000190029
288 -0.0033403 -0.0069643 -0.000171467
289 -0.00356026 -0.00839815 -0.000148856
290 -0.00374016 -0.00993253 -0.000120576
291 -0.0038809 -0.0115409 -9.21631e-05
292 -0.0040046 -0.0132249 -4.42238e-05
293 -0.00410752 -0.0149394 6.9103e-06
294 5.05557e-05 -0.00251636 -0.000109841
295 3.69616e-05 -0.00256848 -6.33779e-05
296 3.06694e-05 -0.00259774 -2.9274e-05
297 2.90437e-05 -0.0026071 -5.08099e-17
298 3.06694e-05 -0.00259774 2.9274e-05
299 3.69616e-05 -0.00256848 6.33779e-05
300 5.05557e-05 -0.00251636 0.000109841
301 -0.00065192 -0.00257562 -2.7678e-06
302 -0.000663433 -0.00263197 -1.17515e-06
303 -0.000669633 -0.00266322 1.42517e-07
304 -0.000671665 -0.00267304 -5.25816e-17
305 -0.000669633 -0.00266322 -1.42517e-07
306 -0.000663433 -0.00263197 1.17515e-06
307 -0.00065192 -0.00257562 2.7678e-06
308 -0.00137496 -0.00262715 0.000109198
309 -0.00138386 -0.00269442 6.69528e-05
310 -0.00139021 -0.00272798 3.25979e-05
311 -0.00139245 -0.00273824 -5.57834e-17
312 -0.00139021 -0.00272798 -3.25979e-05
313 -0.00138386 -0.00269442 -6.69528e-05
314 -0.00137496 -0.00262715 -0.000109198
315 0.000934263 -0.0165823 -3.60389e-05
316 0.000928994 -0.0165955 -2.53535e-05
317 0.000924117 -0.0166013 -1.31122e-05
318 0.000922878 -0.0166033 -1.73773e-16
319 0.000924117 -0.0166013 1.31122e-05
320 0.000928994 -0.0165955 2.53535e-05
321 0.000934263 -0.0165823 3.60389e-05
322 -0.000690187 -0.01663 -2.63674e-05
323 -0.000701104 -0.0166326 -1.36669e-05
324 -0.000702733 -0.0166356 -8.48626e-06
325 -0.000704636 -0.0166392 -1.68374e-16
326 -0.000702733 -0.0166356 8.48626e-06
327 -0.000701104 -0.0166326 1.36669e-05
328 -0.000690187 -0.01663 2.63674e-05
329 -0.0023306 -0.016765 -1.30926e-05
330 -0.00233753 -0.0167329 -1.48811e-05
331 -0.00234014 -0.0167442 -3.46898e-06
332 -0.00233863 -0.0167434 -1.66833e-16
333 -0.00234014 -0.0167442 3.46898e-06
334 -0.00233753 -0.0167329 1.48811e-05
335 -0.0023306 -0.016765 1.30926e-05
336 0.000144007 -0.00322217 -0.000193327
337 0.000296721 -0.00428322 -0.000169931
338 0.000438625 -0.00547452 -0.000151079
339 0.000565251 -0.00681192 -0.000129398
340 0.000674399 -0.00827007 -0.000107697
341 0.000765693 -0.00983286 -8.55533e-05
342 0.000841841 -0.0114803 -6.66589e-05
343 0.00089807 -0.0131875 -5.22202e-05
344 0.000928837 -0.0149039 -4.25397e-05
345 -0.000677813 -0.00324649 -1.16351e-05
346 -0.000713496 -0.00425678 -1.69503e-05
347 -0.000716828 -0.0054528 -7.68303e-06
348 -0.000715669 -0.00679003 -3.61336e-06
349 -0.000713492 -0.00825192 -4.40299e-07
350 -0.00070906 -0.00981657 -1.57519e-07
351 -0.000699846 -0.01146 -9.68326e-07
352 -0.000672548 -0.0131738 -1.62713e-05
353 -0.00065932 -0.0149344 -3.40388e-05
354 -0.00154881 -0.00330142 0.000155458
355 -0.0017152 -0.00429528 0.00014839
356 -0.00186577 -0.00547525 0.000136554
357 -0.00199281 -0.00680916 0.000123504
358 -0.00209975 -0.00826776 0.000106058
359 -0.00218632 -0.00982509 8.6901e-05
360 -0.00224946 -0.0114674 6.19257e-05
361 -0.0022944 -0.0131531 3.86951e-05
362 -0.00227118 -0.0149747 -2.04553e-05
363 0.000144007 -0.00322217 0.000193327
364 0.000296721 -0.00428322 0.000169931
365 0.000438625 -0.00547452 0.000151079
366 0.000565251 -0.00681192 0.000129398
367 0.000674399 -0.00827007 0.000107697
368 0.000765693 -0.00983286 8.55533e-05
369 0.000841841 -0.0114803 6.66589e-05
370 0.00089807 -0.0131875 5.22202e-05
371 0.000928837 -0.0149039 4.25397e-05
372 -0.000677813 -0.00324649 1.16351e-05
373 -0.000713496 -0.00425678 1.69503e-05
374 -0.000716828 -0.0054528 7.68303e-06
375 -0.000715669 -0.00679003 3.61336e-06
376 -0.000713492 -0.00825192 4.40299e-07
377 -0.00070906 -0.00981657 1.57519e-07
378 -0.000699846 -0.01146 9.68326e-07
379 -0.000672548 -0.0131738 1.62713e-05
380 -0.00065932 -0.0149344 3.40388e-05
381 -0.00154881 -0.00330142 -0.000155458
382 -0.0017152 -0.00429528 -0.00014839
383 -0.00186577 -0.00547525 -0.000136554
384 -0.00199281 -0.00680916 -0.000123504
385 -0.00209975 -0.00826776 -0.000106058
386 -0.00218632 -0.00982509 -8.6901e-05
387 -0.00224946 -0.0114674 -6.19257e-05
388 -0.0022944 -0.0131531 -3.86951e-05
389 -0.00227118 -0.0149747 2.04553e-05
390 0.000192143 -0.000134602 -6.93399e-05
391 0.000378818 -0.000232858 -0.000111615
392 0.000548596 -0.000387589 -0.000119561
393 0.000706118 -0.000584638 -0.000116796
394 0.000844546 -0.000826015 -0.000105081
395 0.000956844 -0.00110303 -8.97089e-05
396 0.0010325 -0.00139901 -7.30039e-05
397 0.00107049 -0.00169212 -5.80661e-05
398 0.00107629 -0.00195631 -4.89645e-05
399 0.000198113 -0.000146491 -3.97848e-05
400 0.000372457 -0.000256958 -6.60642e-05
401 0.000543868 -0.000411458 -7.74216e-05
402 0.000702242 -0.000607827 -7.64875e-05
403 0.000841065 -0.000845682 -7.02916e-05
404 0.000952751 -0.00111778 -6.14075e-05
405 0.00102763 -0.00140765 -5.24462e-05
406 0.00106638 -0.00169416 -4.51631e-05
407 0.00107512 -0.00195538 -4.09328e-05
408 0.000199813 -0.00015249 -1.83821e-05
409 0.00037371 -0.000267004 -3.08187e-05
410 0.000540945 -0.000425126 -3.70006e-05
411 0.000698649 -0.00062087 -3.77618e-05
412 0.000836954 -0.000857588 -3.51334e-05
413 0.000948348 -0.00112765 -3.1376e-05
414 0.00102315 -0.00141532 -2.76977e-05
415 0.00106265 -0.00170003 -2.50623e-05
416 0.00107313 -0.00196025 -2.39203e-05
417 0.000201016 -0.000154396 7.92346e-19
418 0.000373728 -0.000270395 1.66442e-19
419 0.000540524 -0.000429136 -1.62045e-18
420 0.000697232 -0.000625329 -4.53188e-18
421 0.000835383 -0.000861579 -7.9582e-18
422 0.000946654 -0.00113119 -1.20264e-17
423 0.00102151 -0.00141834 -1.71058e-17
424 0.00106133 -0.00170273 -2.21592e-17
425 0.00107244 -0.00196312 -2.72952e-17
426 0.000199813 -0.00015249 1.83821e-05
427 0.00037371 -0.000267004 3.08187e-05
428 0.000540945 -0.000425126 3.70006e-05
429 0.000698649 -0.00062087 3.77618e-05
430 0.000836954 -0.000857588 3.51334e-05
431 0.000948348 -0.00112765 3.1376e-05
432 0.00102315 -0.00141532 2.76977e-05
433 0.00106265 -0.00170003 2.50623e-05
434 0.00107313 -0.00196025 2.39203e-05
435 0.000198113 -0.000146491 3.97848e-05
436 0.000372457 -0.000256958 6.60642e-05
437 0.000543868 -0.000411458 7.74216e-05
438 0.000702242 -0.000607827 7.64875e-05
439 0.000841065 -0.000845682 7.02916e-05
440 0.000952751 -0.00111778 6.14075e-05
441 0.00102763 -0.00140765 5.24462e-05
442 0.00106638 -0.00169416 4.51631e-05
443 0.00107512 -0.00195538 4.09328e-05
444 0.000192143 -0.000134602 6.93399e-05
445 0.000378818 -0.000232858 0.000111615
446 0.000548596 -0.000387589 0.000119561
447 0.000706118 -0.000584638 0.000116796
448 0.000844546 -0.000826015 0.000105081
449 0.000956844 -0.00110303 8.97089e-05
450 0.0010325 -0.00139901 7.30039e-05
451 0.00107049 -0.00169212 5.80661e-05
452 0.00107629 -0.00195631 4.89645e-05
453 -0.000185993 -0.000126885 7.13497e-05
454 -0.000369629 -0.000212712 0.000119436
455 -0.000540915 -0.00034804 0.000136936
456 -0.000709098 -0.000518068 0.000148208
457 -0.000877264 -0.000726525 0.000155587
458 -0.00105443 -0.000973003 0.00016401
459 -0.00125345 -0.0012665 0.000174206
460 -0.00148946 -0.00162918 0.000186192
461 -0.00177095 -0.00209647 0.000197853
462 -0.000191439 -0.000138537 4.18276e-05
463 -0.000362745 -0.000237893 7.23388e-05
464 -0.000536477 -0.000375433 9.05167e-05
465 -0.00070764 -0.000549026 9.91278e-05
466 -0.000879653 -0.000760745 0.000105017
467 -0.00106067 -0.00101207 0.000109912
468 -0.00126355 -0.00131225 0.000114962
469 -0.00150257 -0.00168383 0.000120049
470 -0.00178493 -0.00216127 0.000124823
471 -0.000193301 -0.000144751 1.96747e-05
472 -0.000364766 -0.000248968 3.43534e-05
473 -0.000535506 -0.000391656 4.4039e-05
474 -0.000707928 -0.000567016 4.95289e-05
475 -0.000882019 -0.000780963 5.25683e-05
476 -0.0010656 -0.00103451 5.48101e-05
477 -0.00127082 -0.00133747 5.66433e-05
478 -0.00151162 -0.00171231 5.82263e-05
479 -0.00179469 -0.0021937 5.95569e-05
480 -0.000194635 -0.000146748 -1.1977e-18
481 -0.000365214 -0.000252732 -3.8226e-18
482 -0.000536 -0.000396533 -7.59111e-18
483 -0.000708141 -0.000573076 -1.20258e-17
484 -0.000882967 -0.000787531 -1.69864e-17
485 -0.00106733 -0.00104179 -2.26614e-17
486 -0.00127332 -0.00134544 -2.98545e-17
487 -0.00151468 -0.00172116 -3.90557e-17
488 -0.00179797 -0.00220357 -4.78311e-17
489 -0.000193301 -0.000144751 -1.96747e-05
490 -0.000364766 -0.000248968 -3.43534e-05
491 -0.000535506 -0.000391656 -4.4039e-05
492 -0.000707928 -0.000567016 -4.95289e-05
493 -0.000882019 -0.000780963 -5.25683e-05
494 -0.0010656 -0.00103451 -5.48101e-05
495 -0.00127082 -0.00133747 -5.66433e-05
496 -0.00151162 -0.00171231 -5.82263e-05
497 -0.00179469 -0.0021937 -5.95569e-05
498 -0.000191439 -0.000138537 -4.18276e-05
499 -0.000362745 -0.000237893 -7.23388e-05
500 -0.000536477 -0.000375433 -9.05167e-05
501 -0.00070764 -0.000549026 -9.91278e-05
502 -0.000879653 -0.000760745 -0.000105017
503 -0.00106067 -0.00101207 -0.000109912
504 -0.00126355 -0.00131225 -0.000114962
505 -0.00150257 -0.00168383 -0.000120049
506 -0.00178493 -0.00216127 -0.000124823
507 -0.000185993 -0.000126885 -7.13497e-05
508 -0.000369629 -0.000212712 -0.000119436
509 -0.000540915 -0.00034804 -0.000136936
510 -0.000709098 -0.000518068 -0.000148208
511 -0.000877264 -0.000726525 -0.000155587
512 -0.00105443 -0.000973003 -0.00016401
513 -0.00125345 -0.0012665 -0.000174206
514 -0.00148946 -0.00162918 -0.000186192
515 -0.00177095 -0.00209647 -0.000197853
516 1.74756e-24 -1.54557e-25 -2.86499e-25
517 1.71297e-24 -2.01831e-25 -1.8038e-25
518 1.7418e-24 -2.19345e-25 -7.82051e-26
519 1.74714e-24 -2.24921e-25 3.65046e-39
520 1.7418e-24 -2.19345e-25 7.82051e-26
521 1.71297e-24 -2.01831e-25 1.8038e-25
522 1.74756e-24 -1.54557e-25 2.86499e-25
523 1.07054e-24 -4.21405e-26 -1.88324e-25
524 1.03271e-24 -1.00086e-25 -1.20007e-25
525 1.04507e-24 -1.21529e-25 -5.15893e-26
526 1.04617e-24 -1.28019e-25 9.95108e-40
527 1.04507e-24 -1.21529e-25 5.15893e-26
528 1.03271e-24 -1.00086e-25 1.20007e-25
529 1.07054e-24 -4.21405e-26 1.88324e-25
530 5.19477e-25 2.73074e-26 -9.19331e-26
531 5.01954e-25 -3.28441e-26 -5.98803e-26
532 5.09057e-25 -5.3384e-26 -2.56886e-26
533 5.09777e-25 -5.97921e-26 -3.44383e-40
534 5.09057e-25 -5.3384e-26 2.56886e-26
535 5.01954e-25 -3.28441e-26 5.98803e-26
536 5.19477e-25 2.73074e-26 9.19331e-26
537 -1.67759e-26 4.73942e-26 3.32467e-27
538 -1.08244e-26 -1.45953e-26 2.26372e-27
539 -8.86201e-27 -3.59884e-26 1.00675e-27
540 -8.23479e-27 -4.23898e-26 -1.08974e-39
541 -8.86201e-27 -3.59884e-26 -1.00675e-27
542 -1.08244e-26 -1.45953e-26 -2.26372e-27
543 -1.67759e-26 4.73942e-26 -3.32467e-27
544 -5.52497e-25 4.20514e-26 9.80629e-26
545 -5.22144e-25 -1.99216e-26 6.42158e-26
546 -5.24787e-25 -4.20044e-26 2.77993e-26
547 -5.24157e-25 -4.89082e-26 -1.86541e-39
548 -5.24787e-25 -4.20044e-26 -2.77993e-26
