Node          U1          U2          U3
367 0.00078785 -0.00957804 5.46092e-05
368 0.000890389 -0.0113494 4.2476e-05
369 0.000973209 -0.0132156 3.17173e-05
370 0.00103387 -0.0151482 2.25408e-05
371 0.00106757 -0.0170949 1.59029e-05
372 -0.000795341 -0.0038711 6.53324e-06
373 -0.000822589 -0.00503009 1.04375e-05
374 -0.00082236 -0.00639072 4.1944e-06
375 -0.000819771 -0.00790932 1.72403e-06
376 -0.000817984 -0.00956633 1.07584e-07
377 -0.000815305 -0.0113385 -1.77578e-07
378 -0.000808287 -0.0132009 2.58386e-08
379 -0.00078574 -0.0151419 7.66719e-06
380 -0.000768713 -0.0171317 1.23356e-05
381 -0.00179414 -0.00391835 -8.19239e-05
382 -0.00198353 -0.00505906 -7.72516e-05
383 -0.00215388 -0.00640471 -7.04669e-05
384 -0.00229936 -0.00792073 -6.34013e-05
385 -0.00242228 -0.00957578 -5.38638e-05
386 -0.00252243 -0.0113434 -4.29331e-05
387 -0.00259835 -0.0132042 -2.85721e-05
388 -0.00265335 -0.0151248 -1.5014e-05
389 -0.0026411 -0.0171885 1.55902e-05
390 0.000239986 -0.000101646 -3.37205e-05
391 0.000454303 -0.000227758 -5.5797e-05
392 0.000650815 -0.000407946 -6.17533e-05
393 0.000830234 -0.000638616 -6.09767e-05
394 0.000987419 -0.000917531 -5.58154e-05
395 0.00111373 -0.0012362 -4.84723e-05
396 0.00119853 -0.00157634 -4.0267e-05
397 0.00123931 -0.00191182 -3.2559e-05
398 0.00124599 -0.00221568 -2.78918e-05
399 0.000242312 -0.000106631 -1.92542e-05
400 0.000451508 -0.000238421 -3.29885e-05
401 0.000648591 -0.000419482 -3.95043e-05
402 0.000828631 -0.000650177 -3.9942e-05
403 0.000985932 -0.000927765 -3.73439e-05
404 0.00111187 -0.00124415 -3.32687e-05
405 0.00119611 -0.00158133 -2.89185e-05
406 0.00123691 -0.00191337 -2.52271e-05
407 0.00124469 -0.00221557 -2.30477e-05
408 0.000243452 -0.000109024 -8.84106e-06
409 0.000452155 -0.000243051 -1.52819e-05
410 0.000647517 -0.000425898 -1.88127e-05
411 0.000827065 -0.000656762 -1.96148e-05
412 0.000984092 -0.000933983 -1.86555e-05
413 0.00110976 -0.00124956 -1.69887e-05
414 0.00119382 -0.00158573 -1.52675e-05
415 0.00123477 -0.00191689 -1.39774e-05
416 0.0012431 -0.00221845 -1.33908e-05
417 0.000243999 -0.000109759 -1.04182e-17
418 0.000452351 -0.000244525 -1.98329e-17
419 0.000647364 -0.000427827 -2.87265e-17
420 0.000826494 -0.000658949 -3.71845e-17
421 0.000983375 -0.000936081 -4.45798e-17
422 0.00110896 -0.00125149 -5.1321e-17
423 0.00119299 -0.00158745 -5.6325e-17
424 0.00123403 -0.00191849 -5.98001e-17
425 0.00124252 -0.00222011 -6.05418e-17
426 0.000243452 -0.000109024 8.84106e-06
427 0.000452155 -0.000243051 1.52819e-05
428 0.000647517 -0.000425898 1.88127e-05
429 0.000827065 -0.000656762 1.96148e-05
430 0.000984092 -0.000933983 1.86555e-05
431 0.00110976 -0.00124956 1.69887e-05
432 0.00119382 -0.00158573 1.52675e-05
433 0.00123477 -0.00191689 1.39774e-05
434 0.0012431 -0.00221845 1.33908e-05
435 0.000242312 -0.000106631 1.92542e-05
436 0.000451508 -0.000238421 3.29885e-05
437 0.000648591 -0.000419482 3.95043e-05
438 0.000828631 -0.000650177 3.9942e-05
439 0.000985932 -0.000927765 3.73439e-05
440 0.00111187 -0.00124415 3.32687e-05
441 0.00119611 -0.00158133 2.89185e-05
442 0.00123691 -0.00191337 2.52271e-05
443 0.00124469 -0.00221557 2.30477e-05
444 0.000239986 -0.000101646 3.37205e-05
445 0.000454303 -0.000227758 5.5797e-05
446 0.000650815 -0.000407946 6.17533e-05
447 0.000830234 -0.000638616 6.09767e-05
448 0.000987419 -0.000917531 5.58154e-05
449 0.00111373 -0.0012362 4.84723e-05
