Node          U1          U2          U3
155 -1.89983e-24 -3.84081e-27 8.07063e-25
156 -1.23854e-24 7.9546e-26 5.23754e-25
157 -6.2553e-25 1.21693e-25 2.63612e-25
158 -2.30545e-26 1.25186e-25 7.84264e-27
159 5.77364e-25 1.05325e-25 -2.46853e-25
160 1.19129e-24 5.70827e-26 -5.06651e-25
161 1.87758e-24 -1.6847e-26 -7.98725e-25
162 0.000539872 -0.00223416 0.000188369
163 0.000661804 -0.00219169 0.000106651
164 0.000842216 -0.00218448 6.70205e-05
165 0.000842216 -0.00218448 -6.70205e-05
166 0.000661804 -0.00219169 -0.000106651
167 0.000539872 -0.00223416 -0.000188369
168 0.000973414 -0.00336602 -0.000248257
169 0.00131259 -0.00436478 -0.000244663
170 0.00159614 -0.00551513 -0.000222952
171 0.00184425 -0.00679425 -0.000195166
172 0.00205666 -0.0081899 -0.00016412
173 0.00223122 -0.00968426 -0.000131646
174 0.00236356 -0.0112572 -9.99645e-05
175 0.00244754 -0.0128818 -7.33147e-05
176 0.00248302 -0.0145195 -5.70345e-05
177 0.00096204 -0.00344594 -0.000149614
178 0.00130275 -0.0044532 -0.000155089
179 0.00158937 -0.00559966 -0.000144887
180 0.00183822 -0.0068705 -0.000127662
181 0.00204974 -0.00825538 -0.000107625
182 0.00222234 -0.00973726 -8.67498e-05
183 0.00235256 -0.0112966 -6.70348e-05
184 0.00243609 -0.0129082 -5.11047e-05
185 0.00247385 -0.0145367 -4.18544e-05
186 0.000957645 -0.00348928 -7.02136e-05
187 0.00129618 -0.004501 -7.43964e-05
188 0.00158194 -0.00564737 -7.07975e-05
189 0.0018305 -0.00691447 -6.29168e-05
190 0.00204125 -0.00829363 -5.32216e-05
191 0.00221276 -0.00976857 -4.31156e-05
192 0.00234226 -0.0113205 -3.3721e-05
193 0.00242616 -0.0129249 -2.62727e-05
194 0.00246544 -0.0145485 -2.20284e-05
195 0.000956438 -0.00350299 1.48917e-16
196 0.001294 -0.00451621 1.75378e-16
197 0.00157914 -0.00566269 2.0254e-16
198 0.00182737 -0.00692879 2.32189e-16
199 0.00203782 -0.00830618 2.61727e-16
200 0.00220901 -0.00977892 2.94497e-16
201 0.00233836 -0.0113284 3.2554e-16
202 0.00242246 -0.0129307 3.54886e-16
203 0.0024622 -0.0145526 3.82798e-16
204 0.000957645 -0.00348928 7.02136e-05
205 0.00129618 -0.004501 7.43964e-05
206 0.00158194 -0.00564737 7.07975e-05
207 0.0018305 -0.00691447 6.29168e-05
208 0.00204125 -0.00829363 5.32216e-05
209 0.00221276 -0.00976857 4.31156e-05
210 0.00234226 -0.0113205 3.3721e-05
211 0.00242616 -0.0129249 2.62727e-05
212 0.00246544 -0.0145485 2.20284e-05
213 0.00096204 -0.00344594 0.000149614
214 0.00130275 -0.0044532 0.000155089
215 0.00158937 -0.00559966 0.000144887
216 0.00183822 -0.0068705 0.000127662
217 0.00204974 -0.00825538 0.000107625
218 0.00222234 -0.00973726 8.67498e-05
219 0.00235256 -0.0112966 6.70348e-05
220 0.00243609 -0.0129082 5.11047e-05
221 0.00247385 -0.0145367 4.18544e-05
222 0.000973414 -0.00336602 0.000248257
223 0.00131259 -0.00436478 0.000244663
224 0.00159614 -0.00551513 0.000222952
225 0.00184425 -0.00679425 0.000195166
226 0.00205666 -0.0081899 0.00016412
227 0.00223122 -0.00968426 0.000131646
228 0.00236356 -0.0112572 9.99645e-05
229 0.00244754 -0.0128818 7.33147e-05
230 0.00248302 -0.0145195 5.70345e-05
231 -0.00238254 -0.00343941 0.000225326
232 -0.00270627 -0.00439583 0.000221415
233 -0.00300118 -0.00552216 0.000209142
234 -0.00325726 -0.00679401 0.00018966
235 -0.00347213 -0.00818626 0.000164968
236 -0.00364749 -0.00967612 0.000136571
237 -0.00378766 -0.0112436 0.000104375
238 -0.00390482 -0.0128757 6.46722e-05
239 -0.00401162 -0.0145794 -1.4893e-06
240 -0.00239211 -0.00352162 0.000140088
241 -0.00271147 -0.00448063 0.000138975
242 -0.00300253 -0.00560475 0.000133095
243 -0.00325625 -0.00687019 0.000122424
244 -0.00347043 -0.00825318 0.000107687
245 -0.00364657 -0.00973222 8.94424e-05
246 -0.0037881 -0.0112876 6.71386e-05
247 -0.00390255 -0.012907 3.77313e-05
248 -0.00399325 -0.0145766 3.88751e-06
249 -0.00239941 -0.00356526 6.6722e-05
250 -0.00271546 -0.00452694 6.65808e-05
251 -0.00300315 -0.00565105 6.43456e-05
252 -0.00325434 -0.00691381 5.97495e-05
253 -0.00346718 -0.00829205 5.29326e-05
254 -0.00364276 -0.00976497 4.39931e-05
255 -0.00378327 -0.0113133 3.24932e-05
256 -0.00389434 -0.0129239 1.84591e-05
257 -0.00398412 -0.0145869 5.02985e-06
258 -0.00240208 -0.00357888 1.8401e-16
259 -0.00271698 -0.00454161 2.09217e-16
260 -0.00300343 -0.00566592 2.35919e-16
261 -0.00325361 -0.00692797 2.65929e-16
262 -0.00346582 -0.00830477 2.96112e-16
263 -0.00364101 -0.00977573 3.19972e-16
264 -0.00378086 -0.0113217 3.50917e-16
265 -0.0038913 -0.01293 3.73594e-16
266 -0.00398101 -0.0145903 3.95202e-16
267 -0.00239941 -0.00356526 -6.6722e-05
268 -0.00271546 -0.00452694 -6.65808e-05
269 -0.00300315 -0.00565105 -6.43456e-05
270 -0.00325434 -0.00691381 -5.97495e-05
271 -0.00346718 -0.00829205 -5.29326e-05
272 -0.00364276 -0.00976497 -4.39931e-05
273 -0.00378327 -0.0113133 -3.24932e-05
274 -0.00389434 -0.0129239 -1.84591e-05
275 -0.00398412 -0.0145869 -5.02985e-06
276 -0.00239211 -0.00352162 -0.000140088
277 -0.00271147 -0.00448063 -0.000138975
278 -0.00300253 -0.00560475 -0.000133095
279 -0.00325625 -0.00687019 -0.000122424
280 -0.00347043 -0.00825318 -0.000107687
281 -0.00364657 -0.00973222 -8.94424e-05
282 -0.0037881 -0.0112876 -6.71386e-05
283 -0.00390255 -0.012907 -3.77313e-05
284 -0.00399325 -0.0145766 -3.88751e-06
285 -0.00238254 -0.00343941 -0.000225326
286 -0.00270627 -0.00439583 -0.000221415
287 -0.00300118 -0.00552216 -0.000209142
288 -0.00325726 -0.00679401 -0.00018966
